"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-11-30","10.29",,"0.00","0.0","0.0","48","53","45","  200","  200","21.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-01","9.40",,"0.07","0.0","0.0","54","62","42","  330","  330","25.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-02","13.65",,"0.09","0.0","0.0","41","47","36","   90","   10","21.0","25.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-03","11.41",,"0.15","0.0","0.0","45","48","42","  290","  290","23.0","30.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-04","10.07",,"0.00","0.0","0.0","42","47","36","  300","  300","17.0","27.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-05","10.07",,"0.55","0.0","0.0","40","50","35","   90","   90","19.9","23.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-06","7.38",,"1.24","0.0","0.0","48","52","41","   10","  360","25.9","35.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-07","21.70",,"0.05","0.0","0.0","41","44","31","  360","   20","32.0","44.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-08","15.43",,"0.00","0.0","0.0","31","37","26","   40","   30","23.0","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-09","21.92",,"3.04","0.0","0.0","40","48","37","   40","   40","38.0","47.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-10","16.33",,"0.11","0.3","0.0","40","42","34","  290","  300","23.9","30.0","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-11","16.78",,"0.00","0.0","0.0","35","40","32","  280","  270","25.9","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-12","15.66",,"0.00","0.0","0.0","36","41","33","  320","  320","25.1","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-13","16.33",,"0.00","0.0","0.0","38","47","34","  310","  330","23.9","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-14","11.86",,"0.00","0.0","0.0","41","47","37","  330","  330","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-15","4.92",,"0.00","0.0","0.0","41","48","34","  340","  320","12.1","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-16","4.03",,"0.30","0.0","0.0","41","50","33","   90","  100","14.1","16.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-17","12.75",,"0.03","0.0","0.0","49","55","43","  300","  310","23.9","31.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-18","16.11",,"0.00","0.0","0.0","42","44","38","  300","  300","30.0","36.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-19","14.54",,"0.00","0.0","0.0","38","40","32","  330","  340","21.9","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-20","6.49",,"0.00","0.0","0.0","33","34","31","  360","   10","14.1","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-21","7.16",,"0.00","0.0","0.0","35","38","33","  340","  340","13.0","15.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-22","8.50",,"0.04","0.0","0.0","40","48","37","   80","  100","18.1","23.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-23","11.41",,"0.21","0.0","0.0","48","50","47","   70","   70","19.9","23.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-24","10.51",,"1.05","0.0","0.0","49","57","47","  170","  170","25.1","32.0","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-25","17.00",,"0.06","0.0","0.0","52","57","42","  290","  300","30.0","38.9","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-26","10.51",,"0.00","0.0","0.0","45","51","38","  300","  330","16.1","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-27","6.26",,"0.00","0.0","0.0","44","54","37","  190","  190","14.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-28","10.51",,"0.05","0.0","0.0","47","54","42","  320","  320","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-29","10.96",,"0.00","0.0","0.0","43","46","35","  330","  330","19.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-30","9.40",,"0.00","0.0","0.0","34","36","28","  330","  320","17.0","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-12-31","11.86",,"0.00","0.0","0.0","30","34","28","  260","  260","21.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-01","17.22",,"0.00","0.0","0.0","33","40","28","  230","  230","25.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-02","13.65",,"0.00","0.0","0.0","39","45","35","  300","  300","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-03","9.17",,"0.94","0.0","0.0","36","47","30","   90","  100","18.1","23.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-04","10.07",,"0.47","0.0","0.0","47","55","43","  290","  290","28.0","36.0","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-05","19.69",,"0.00","0.0","0.0","43","51","23","  280","  290","33.1","48.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-06","8.50",,"0.07","1.1","0.0","22","23","19","  310","  310","23.0","28.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-07","21.47",,"0.00","0.0","1.2","22","25","10","  310","  310","40.0","47.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-08","17.22",,"0.00","0.0","0.0","14","22","8","  310","  300","33.1","38.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-09","19.69",,"0.07","1.3","0.0","26","34","21","  210","  270","33.1","40.0","    1",,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-10","16.55",,"0.00","0.0","1.2","22","24","18","  280","  280","25.1","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-11","10.96",,"0.00","0.0","1.2","26","38","20","  200","  190","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-12","6.04",,"0.70","0.0","0.0","36","40","34","  350","  350","16.1","19.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-13","15.21",,"0.00","0.0","0.0","32","37","19","  360","  360","23.9","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-14","11.63",,"0.00","0.0","0.0","24","33","19","   30","   20","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-15","9.84",,"0.00","0.0","0.0","31","35","27","  270","  260","18.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-16","18.34",,"0.00","0.0","0.0","34","45","20","  310","  300","36.0","45.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-17","10.51",,"0.00","0.0","0.0","23","32","18","  320","  330","21.0","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-18","6.26",,"1.62","0.0","0.0","36","47","27","  310","  300","21.0","23.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-19","15.21",,"0.00","0.0","0.0","40","45","35","  290","  290","31.1","36.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-20","12.08",,"0.00","0.0","0.0","39","41","32","  290","  310","19.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-21","6.04",,"0.00","0.0","0.0","32","38","26","   20","  120","14.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-22","8.05",,"0.00","0.0","0.0","35","41","31","  310","  310","19.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-23","10.51",,"0.00","0.0","0.0","33","39","28","  230","  230","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-24","11.41",,"0.75","3.4","3.1","35","40","33","  300",,"23.0",,"    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-25","14.99",,"0.00","0.0","0.0","39","45","32","  290","  300","25.9","33.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-26","18.34",,"0.33","5.1","0.0","28","32","24","   20","   30","31.1","38.9","    1",,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-27","19.01",,"0.31","5.6","9.1","25","27","20","  360","  350","29.1","36.0",,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-28","13.87",,"0.00","0.0","9.8","24","33","17","  330","  330","23.9","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-29","8.28",,"0.01","0.0","9.1","25","37","17","  200","  240","19.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-30","18.79",,"0.04","0.6","9.1","35","38","19","  310","  320","38.0","49.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-31","23.04",,"0.00","0.0","7.1","21","27","14","  310","  310","38.0","47.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-01","8.72",,"0.03","0.3","7.1","27","36","21","  270","  270","17.0","19.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-02","19.01",,"1.18","4.2","7.9","32","35","15","  310","  320","31.1","38.9","    1","    1",,"    1","    1","    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-03","14.32",,"0.00","0.0","7.9","20","26","14","  310","  310","32.0","40.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-04","13.65",,"0.00","0.0","7.9","31","39","22","  200","  190","23.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-05","19.69",,"0.00","0.1","5.1","33","39","15","  330","  320","33.1","40.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-06","14.09",,"0.00","0.0","5.1","19","27","13","  260","  270","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-07","8.28",,"0.00","0.0","3.9","30","37","25","  240","  250","14.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-08","8.72",,"0.00","0.0","3.9","37","42","29","   50","   50","19.9","23.9","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-09","17.22",,"0.14","0.1","2.0","28","29","26","   30","   40","23.9","30.0",,,,"    1","    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-10","15.43",,"0.00","0.0","2.0","30","40","26","   20","  360","23.0","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-11","10.07",,"0.00","0.0","2.0","30","35","23","   30","   30","21.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-12","13.20",,"0.00","0.0","1.2","31","40","18","  330","  330","36.0","44.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-13","18.79",,"0.00","0.0","1.2","19","23","9","  310","  310","38.0","47.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-14","10.51",,"0.01","0.4","1.2","24","35","16","  200","  190","28.0","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-15","27.74",,"0.01","0.3","1.2","21","27","5","  310","  310","38.0","49.0",,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-16","14.76",,"0.00","0.0","1.2","11","23","5","  300","  310","33.1","44.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-17","6.93",,"0.19","3.5","3.9","20","27","16","   30","   20","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-18","5.82",,"0.00","0.0","3.1","23","31","15","  250","  250","17.0","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-19","21.25",,"0.00","0.0","2.0","22","27","9","  310","  300","31.1","38.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-20","18.79",,"0.00","0.0","2.0","11","21","3","  290","  300","31.1","40.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-21","9.84",,"0.59","4.5","1.2","21","33","11","  190","  200","25.1","31.1","    1",,,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-22","4.03",,"0.20","0.2","5.1","34","43","32","  270","  310","13.0","23.0","    1",,,,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-23","19.01",,"0.00","0.0","3.1","29","38","9","  330","  320","31.1","38.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-24","9.40",,"0.00","0.0","3.1","13","28","7","  180","  180","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-25","10.74",,"0.00","0.0","2.0","28","37","19","  260","  270","23.0","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-26","12.75",,"0.00","0.0","2.0","28","32","23","   20","   30","23.0","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-27","10.29",,"0.00","0.0","2.0","25","32","20","  340","  230","18.1","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-28","8.28",,"0.00","0.0","1.2","23","31","15","  330","  330","19.9","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-01","4.70",,"0.51","3.1","1.2","26","33","20","  210","  190","18.1","23.0","    1",,,"    1","    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-02","15.21",,"0.00","0.0","3.9","33","39","28","  310","  320","30.0","38.9","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-03","8.95",,"0.70","1.2","3.1","29","36","19","  200","  180","17.0","21.0","    1",,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-04","10.96",,"0.30","0.0","3.1","37","41","33","  240","  240","18.1","23.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-05","13.20",,"0.73","5.8","1.2","33","41","21","  330","  320","23.9","29.1","    1","    1",,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-06","9.62",,"0.00","0.0","7.1","20","25","13","  340","  340","23.9","29.1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-07","11.86",,"0.00","0.0","5.9","26","37","16","  250","  240","23.0","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-08","9.84",,"0.00","0.0","3.9","39","48","30","  270","  270","28.0","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-09","8.50",,"0.02","0.0","2.0","42","54","32","  270","  270","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-10","3.13",,"0.49","0.0","1.2","42","50","34","  150","  150","12.1","15.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-11","11.63",,"0.02","0.0","0.0","49","62","40","  300","  300","23.9","31.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-12","19.69",,"0.00","0.0","0.0","47","50","36","  320","  310","40.9","48.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-13","8.05",,"0.00","0.0","0.0","37","41","30","  170","  160","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-14","8.95",,"1.11","0.0","0.0","43","49","39","  160","  160","21.9","28.0","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-15","20.13",,"0.00","0.0","0.0","45","46","37","  310","  300","38.0","51.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-16","8.72",,"0.00","0.0","0.0","41","50","36","  310","  310","23.9","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-17","18.34",,"0.02","0.0","0.0","47","60","34","  300","  320","42.9","53.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-18","18.79",,"0.00","0.0","0.0","35","41","30","  310","  320","36.0","44.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-19","11.86",,"0.00","0.0","0.0","35","44","30","  310","  310","25.1","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-20","10.29",,"0.33","3.0","0.0","35","40","31","   40","   60","17.0","21.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-21","9.17",,"0.02","0.0","3.1","35","48","30","  310","  310","19.9","23.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-22","17.22",,"0.00","0.0","0.0","41","45","28","  330","  330","25.9","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-23","15.43",,"0.00","0.0","0.0","32","41","24","  300","  340","23.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-24","8.50",,"0.00","0.0","0.0","34","43","26","  350","  350","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-25","5.59",,"0.12","0.0","0.0","37","46","30","  170","  180","17.0","21.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-26","9.40",,"0.25","0.0","0.0","45","54","41","  180","  190","28.0","36.9","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-27","10.96",,"0.23","0.0","0.0","45","47","41","  350","  330","18.1","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-28","17.45",,"0.00","0.0","0.0","39","42","28","  330","  330","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-29","13.65",,"0.00","0.0","0.0","34","46","27","  330","  350","21.0","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-30","14.99",,"0.00","0.0","0.0","42","58","36","  320","  310","28.0","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-03-31","11.86",,"0.03","0.0","0.0","44","48","37","  300","  290","19.9","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-01","11.41",,"0.00","0.0","0.0","42","53","34","  320","  300","21.0","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-02","14.32",,"0.00","0.0","0.0","46","57","33","  190","  190","33.1","42.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-03","7.61",,"0.11","0.0","0.0","50","59","46","  190","  190","16.1","18.1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-04","20.80",,"0.00","0.0","0.0","51","56","44","  300","  320","38.0","47.0","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-05","12.97",,"0.00","0.0","0.0","50","65","38","  260","  250","32.0","40.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-06","10.51",,"0.00","0.0","0.0","49","60","39","  190","  190","25.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-07","8.50",,"0.03","0.0","0.0","51","57","44","   40","   40","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-08","14.54",,"0.01","0.0","0.0","45","49","36","   70","   70","23.9","30.0","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-09","11.41",,"0.00","0.0","0.0","40","44","38","   40","   40","19.9","25.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-10","8.28",,"0.19","0.0","0.0","44","58","40","  100","  100","21.9","25.1","    1","    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-11","16.78",,"0.00","0.0","0.0","56","61","45","  320","  310","25.9","36.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-12","8.95",,"0.00","0.0","0.0","51","61","43","  180","  170","18.1","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-13","14.32",,"0.00","0.0","0.0","51","62","43","  180","  180","29.1","38.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-14","5.82",,"0.04","0.0","0.0","56","66","50","  360","  190","16.1","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-15","12.08",,"0.00","0.0","0.0","60","72","50","  350","  350","25.9","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-16","10.96",,"0.00","0.0","0.0","56","60","48","  120","  100","19.9","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-17","9.84",,"0.11","0.0","0.0","56","69","52","  200","  200","21.0","25.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-18","9.17",,"0.00","0.0","0.0","62","73","51","  190","  190","25.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-19","12.08",,"0.00","0.0","0.0","56","62","47","  120","  130","21.9","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-20","15.66",,"0.87","0.0","0.0","51","58","47","  100","  100","36.9","48.1","    1","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-21","12.08",,"0.06","0.0","0.0","58","67","50","  270","  270","23.9","30.0","    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-22","13.87",,"0.19","0.0","0.0","55","63","46","  240","  240","36.0","47.0",,,"    1",,,,
